CAR_ID,VIN,MODEL_YEAR,VEHICLE_CONFIG,DOORS,STATE,STATE_AB,COUNTRY,PART_NUMBER,BATTERY_SERIAL_NUMBER
1,7jszg7js7jsz77664,2012,sedan,4,Pennsylvania,PA,USA,85AHE352021,85AHE35202110589
2,16tvm16t16tv11945,1993,suv,2,Colorado,CO,USA,54AHQ242019,54AHQ24201958629
3,10nig10n10ni01058,1990,suv,2,Alabama,AL,USA,85AHE352021,85AHE35202134876
4,10anu10a10an01026,1990,suv,2,Alabama,AL,USA,85AHE352021,85AHE35202172657
5,5xuyt5xu5xuy55862,2006,sedan,4,Nevada,NV,USA,41AHT202018,41AHT20201830688
6,4nx7c4nx4nx734455,2001,suv,2,Maryland,MD,USA,91AHT372022,91AHT37202247220
7,3hkji3hk3hkj23487,1998,suv,2,Indiana,IN,USA,47AHK222018,47AHK22201823856
8,12tqr12t12tq01427,1991,suv,2,Arizona,AZ,USA,72AHH312020,72AHH31202062321
9,7h4i47h47h4i67265,2011,sedan,4,Ohio,OH,USA,43AH5212018,43AH521201886819
10,8p07o8p08p0788515,2015,sedan,4,Tennessee,TN,USA,59AHQ262019,59AHQ26201943962
11,3e7qj3e73e7q23068,1997,suv,2,Idaho,ID,USA,55AHQ252019,55AHQ25201933264
12,6cwh66cw6cwh66526,2009,sedan,4,New Mexico,NM,USA,60AHH272019,60AHH27201918489
13,4pvxy4pv4pvx44722,2002,suv,2,Massachusetts,MA,USA,44AH5212018,44AH521201836843
14,7ft3f7ft7ft367010,2010,sedan,4,North Dakota,ND,USA,71AHE302020,71AHE30202012905
15,29dim29d29di12385,1994,suv,2,Delaware,DE,USA,92AHC372022,92AHC37202217521
16,8rh7k8rh8rh788701,2016,sedan,4,Texas,TX,USA,56AHQ252019,56AHQ25201911135
17,6asfl6as6asf56232,2008,sedan,4,New Jersey,NJ,USA,59AHQ262019,59AHQ26201987335
18,27nyg27n27ny12058,1993,suv,2,Colorado,CO,USA,77AHT322021,77AHT32202159045
19,8qlia8ql8qli88681,2016,sedan,4,Texas,TX,USA,56AHQ252019,56AHQ25201986308
20,8rfqa8rf8rfq88719,2016,sedan,4,Texas,TX,USA,56AHQ252019,56AHQ25201976465
21,4na494na4na434396,2001,suv,2,Maine,ME,USA,61AHT272019,61AHT27201980702
22,5u8gx5u85u8g45364,2005,suv,2,Missouri,MO,USA,49AHT232018,49AHT23201850359
23,3gblh3gb3gbl23326,1998,suv,2,Illinois,IL,USA,99AHH402022,99AHH40202265393
24,4q2py4q24q2p44915,2003,suv,2,Michigan,MI,USA,70AHK302020,70AHK30202024179
25,15bvw15b15bv01848,1992,suv,2,California,CA,USA,90AHC372022,90AHC37202269040
27,3i0n13i03i0n23684,1999,suv,2,Iowa,IA,USA,96AHE392022,96AHE39202241539
28,27ivu27i27iv12114,1993,suv,2,Connecticut,CT,USA,65AHK282020,65AHK28202011568
29,12fdp12f12fd01290,1991,suv,2,Alaska,AK,USA,40AHH202018,40AHH20201821264
31,15unh15u15un01752,1992,suv,2,California,CA,USA,82AHT342021,82AHT34202138886
32,2cbtx2cb2cbt12796,1996,suv,2,Georgia,GA,USA,92AHK382022,92AHK38202242558
33,107gm107107g01113,1990,suv,2,Alabama,AL,USA,46AHE222018,46AHE22201857423
34,16ilm16i16il11920,1993,suv,2,Colorado,CO,USA,54AHQ242019,54AHQ24201974593
35,8r2di8r28r2d88733,2016,sedan,4,Texas,TX,USA,56AHQ252019,56AHQ25201956769
36,3feaz3fe3fea23247,1997,suv,2,Illinois,IL,USA,45AHK212018,45AHK21201860891
37,5xptu5xp5xpt55904,2006,sedan,4,Nevada,NV,USA,41AHT202018,41AHT20201843247
38,4ltzx4lt4ltz34175,2000,suv,2,Louisiana,LA,USA,55AHT252019,55AHT25201970824
39,8qxa68qx8qxa88630,2016,sedan,4,Texas,TX,USA,84AHC352021,84AHC35202177815
40,7isn97is7isn77388,2012,sedan,4,Oklahoma,OK,USA,62AH5272019,62AH527201953496
41,7j2ym7j27j2y77646,2012,sedan,4,Oregon,OR,USA,60AHC272019,60AHC27201919424
42,14xid14x14xi01710,1992,suv,2,Arkansas,AR,USA,42AH5202018,42AH520201857459
43,8macx8ma8mac78070,2014,sedan,4,South Carolina,SC,USA,46AHH222018,46AHH22201854201
44,5unl25un5unl45488,2005,suv,2,Missouri,MO,USA,49AHT232018,49AHT23201875572
45,5rhi65rh5rhi45035,2003,suv,2,Minnesota,MN,USA,67AHE292020,67AHE29202089657
46,11y7m11y11y701177,1990,suv,2,Alabama,AL,USA,46AHE222018,46AHE22201891435
47,6czer6cz6cze66539,2009,sedan,4,New Mexico,NM,USA,60AHH272019,60AHH27201935002
48,7kzdi7kz7kzd77743,2013,sedan,4,Pennsylvania,PA,USA,85AHE352021,85AHE35202128468
49,29y8t29y29y812417,1994,suv,2,Delaware,DE,USA,92AHC372022,92AHC37202262362
50,29sng29s29sn12397,1994,suv,2,Delaware,DE,USA,92AHC372022,92AHC37202294457
51,6eauw6ea6eau66904,2010,sedan,4,North Carolina,NC,USA,49AHT232018,49AHT23201881868
52,2cket2ck2cke12791,1996,suv,2,Georgia,GA,USA,92AHK382022,92AHK38202240953
53,4lvwt4lv4lvw34153,2000,suv,2,Louisiana,LA,USA,55AHT252019,55AHT25201956896
54,12klt12k12kl01302,1991,suv,2,Alaska,AK,USA,40AHH202018,40AHH20201887864
55,11pbd11p11pb01156,1990,suv,2,Alabama,AL,USA,46AHE222018,46AHE22201839636
56,27aq327a27aq12158,1993,suv,2,Connecticut,CT,USA,65AHK282020,65AHK28202099092
57,27q9c27q27q912126,1993,suv,2,Connecticut,CT,USA,65AHK282020,65AHK28202072271
58,5vaft5va5vaf55625,2005,sedan,4,Montana,MT,USA,52AHC242018,52AHC24201830486
59,3j6133j63j6133888,1999,suv,2,Kentucky,KY,USA,40AHK202018,40AHK20201854979
60,4pfoy4pf4pfo44746,2002,suv,2,Massachusetts,MA,USA,44AH5212018,44AH521201847564
61,4mbxb4mb4mbx34255,2001,suv,2,Maine,ME,USA,73AHE312020,73AHE31202083038
62,4li6w4li4li634075,2000,suv,2,Louisiana,LA,USA,92AHQ382022,92AHQ38202274734
63,5wktb5wk5wkt55742,2006,sedan,4,Nebraska,NE,USA,61AHC272019,61AHC27201936762
65,7ii777ii7ii777459,2012,sedan,4,Oklahoma,OK,USA,84AHC352021,84AHC35202159922
66,29t0s29t29t012352,1994,suv,2,Delaware,DE,USA,92AHC372022,92AHC37202220310
67,5wyvu5wy5wyv55676,2006,sedan,4,Montana,MT,USA,52AHC242018,52AHC24201828899
68,16auc16a16au11901,1993,suv,2,Colorado,CO,USA,54AHQ242019,54AHQ24201926305
69,6zgy96zg6zgy56089,2007,sedan,4,New Hampshire,NH,USA,47AHT222018,47AHT22201877067
70,14lam14l14la01587,1992,suv,2,Arkansas,AR,USA,56AHT252019,56AHT25201955846
71,4mwhh4mw4mwh34324,2001,suv,2,Maine,ME,USA,73AHE312020,73AHE31202016726
72,7if6h7if7if677495,2012,sedan,4,Oregon,OR,USA,81AHE342021,81AHE34202190651
73,7fgn57fg7fgn67082,2010,sedan,4,North Dakota,ND,USA,46AHK222018,46AHK22201875140
74,4kkfc4kk4kkf34014,2000,suv,2,Kentucky,KY,USA,46AHE222018,46AHE22201866303
75,7ke7z7ke7ke777781,2013,sedan,4,Pennsylvania,PA,USA,81AHK342021,81AHK34202110279
76,7fbbh7fb7fbb67065,2010,sedan,4,North Dakota,ND,USA,46AHK222018,46AHK22201820700
77,5tqqn5tq5tqq45349,2004,suv,2,Missouri,MO,USA,49AHT232018,49AHT23201892647
78,6eexy6ee6eex66855,2010,sedan,4,North Carolina,NC,USA,49AHT232018,49AHT23201815715
79,16xaq16x16xa11942,1993,suv,2,Colorado,CO,USA,54AHQ242019,54AHQ24201976014
80,7kcbm7kc7kcb77755,2013,sedan,4,Pennsylvania,PA,USA,81AHK342021,81AHK34202122123
81,5wgnb5wg5wgn55745,2006,sedan,4,Nebraska,NE,USA,61AHC272019,61AHC27201973747
82,5sy6k5sy5sy645105,2004,suv,2,Minnesota,MN,USA,41AHC202018,41AHC20201876437
83,5uf7g5uf5uf745420,2005,suv,2,Missouri,MO,USA,49AHT232018,49AHT23201896274
84,3kcg23kc3kcg33940,2000,suv,2,Kentucky,KY,USA,40AHK202018,40AHK20201822746
85,7j3xb7j37j3x77557,2012,sedan,4,Oregon,OR,USA,81AHE342021,81AHE34202114080
86,3gwig3gw3gwi23442,1998,suv,2,Indiana,IN,USA,47AHK222018,47AHK22201861335
88,8p7kc8p78p7k88480,2015,sedan,4,Tennessee,TN,USA,59AHQ262019,59AHQ26201999713
91,3hctj3hc3hct23500,1998,suv,2,Indiana,IN,USA,47AHK222018,47AHK22201894024
92,7i0iv7i07i0i77429,2012,sedan,4,Oklahoma,OK,USA,84AHC352021,84AHC35202128868
93,2cqk82cq2cqk22846,1996,suv,2,Hawaii,HI,USA,63AHH272019,63AHH27201996777
95,6axf46ax6axf56236,2008,sedan,4,New Jersey,NJ,USA,59AHQ262019,59AHQ26201921844
96,15vjq15v15vj01758,1992,suv,2,California,CA,USA,82AHT342021,82AHT34202198963
98,8ohxh8oh8ohx88358,2015,sedan,4,South Dakota,SD,USA,67AHC292020,67AHC29202087306
99,8ndrv8nd8ndr78186,2014,sedan,4,South Carolina,SC,USA,85AHQ352021,85AHQ35202166726
100,5wbpz5wb5wbp55781,2006,sedan,4,Nebraska,NE,USA,42AHH202018,42AHH20201876760
101,4lgci4lg4lgc34095,2000,suv,2,Louisiana,LA,USA,92AHQ382022,92AHQ38202217049
102,3kwe33kw3kwe33968,2000,suv,2,Kentucky,KY,USA,40AHK202018,40AHK20201816994
103,5wl4e5wl5wl455689,2006,sedan,4,Nebraska,NE,USA,61AHC272019,61AHC27201940701
104,3fxfz3fx3fxf23240,1997,suv,2,Illinois,IL,USA,45AHK212018,45AHK21201867854
105,8rbgh8rb8rbg88786,2016,sedan,4,Utah,UT,USA,93AHK382022,93AHK38202291789
106,3ibci3ib3ibc23674,1999,suv,2,Iowa,IA,USA,96AHE392022,96AHE39202241661
107,3kiac3ki3kia33963,2000,suv,2,Kentucky,KY,USA,40AHK202018,40AHK20201865033
108,5viqi5vi5viq55625,2005,sedan,4,Montana,MT,USA,52AHC242018,52AHC24201837001
110,8qsa08qs8qsa88684,2016,sedan,4,Texas,TX,USA,56AHQ252019,56AHQ25201926512
111,7gqju7gq7gqj67227,2011,sedan,4,Ohio,OH,USA,43AH5212018,43AH521201830552
112,5sjuo5sj5sju45089,2004,suv,2,Minnesota,MN,USA,41AHC202018,41AHC20201867753
113,3euis3eu3eui23048,1997,suv,2,Idaho,ID,USA,55AHQ252019,55AHQ25201929988
114,4p7co4p74p7c44773,2002,suv,2,Massachusetts,MA,USA,44AH5212018,44AH521201832898
115,5unve5un5unv45497,2005,suv,2,Missouri,MO,USA,49AHT232018,49AHT23201817204
116,12wfq12w12wf01362,1991,suv,2,Arizona,AZ,USA,72AHH312020,72AHH31202064212
117,4pokn4po4pok44756,2002,suv,2,Massachusetts,MA,USA,44AH5212018,44AH521201856545
118,2cxxt2cx2cxx22814,1996,suv,2,Hawaii,HI,USA,63AHH272019,63AHH27201911059
119,8ogta8og8ogt88303,2015,sedan,4,South Dakota,SD,USA,67AHC292020,67AHC29202032001
120,4orvd4or4orv34555,2002,suv,2,Maryland,MD,USA,83AHE342021,83AHE34202184081
121,7ieco7ie7iec77473,2012,sedan,4,Oklahoma,OK,USA,84AHC352021,84AHC35202149651
122,12ofs12o12of01378,1991,suv,2,Arizona,AZ,USA,72AHH312020,72AHH31202014647
123,3ivca3iv3ivc23676,1999,suv,2,Iowa,IA,USA,96AHE392022,96AHE39202226640
124,2awog2aw2awo12590,1995,suv,2,Florida,FL,USA,47AHH222018,47AHH22201814854
125,5yp775yp5yp755992,2007,sedan,4,Nevada,NV,USA,47AHE222018,47AHE22201832737
